('GIC', 'GIC', 'Boigu Island', '', 'AU')
('GKL', 'GKL', 'Great Keppel Island', '', 'AU')
('GLG', 'GLG', 'Glengyle', '', 'AU')
('GLI', 'GLI', 'Glen Innes', '', 'AU')
('GLM', 'GLM', 'Glenormiston', '', 'AU')
('GLT', 'GLT', 'Gladstone', '', 'AU')
('GLY', 'GLY', 'Goldsworthy', '', 'AU')
('GOO', 'GOO', 'Goondiwindi', '', 'AU')
('GOS', 'GOS', 'Gosford', '', 'AU')
('GOV', 'GOV', 'Gove', '', 'AU')
('GPN', 'GPN', 'Garden Point', '', 'AU')
('GSC', 'GSC', 'Gascoyne Junction', '', 'AU')
('GSN', 'GSN', 'Mount Gunson', '', 'AU')
('GTE', 'GTE', 'Groote Eylandt', '', 'AU')
('GTS', 'GTS', 'Granites', '', 'AU')
('GTT', 'GTT', 'Georgetown', '', 'AU')
('GUH', 'GUH', 'Gunnedah', '', 'AU')
('GUL', 'GUL', 'Goulburn', '', 'AU')
('GVP', 'GVP', 'Greenvale', '', 'AU')
('GYL', 'GYL', 'Argyle', '', 'AU')
('GYP', 'GYP', 'Gympie', '', 'AU')
('HAP', 'HAP', 'Long Island', '', 'AU')
('HAT', 'HAT', 'Heathlands', '', 'AU')
('HBA', 'HBA', 'Hobart', '', 'AU')
('HCQ', 'HCQ', 'Halls Creek', '', 'AU')
('HGD', 'HGD', 'Hughenden', '', 'AU')
('HID', 'HID', 'Horn Island', '', 'AU')
('HIG', 'HIG', 'Highbury', '', 'AU')
('HIH', 'HIH', 'Hook Island', '', 'AU')
('HIP', 'HIP', 'Headlingly', '', 'AU')
('HIS', 'HIS', 'Hayman Island', '', 'AU')
('HLL', 'HLL', 'Hillside', '', 'AU')
('HLS', 'HLS', 'Saint Helens', '', 'AU')
('HLT', 'HLT', 'Hamilton', '', 'AU')
('HLV', 'HLV', 'Helenvale', '', 'AU')
('HMG', 'HMG', 'Hermannsburg', '', 'AU')
('HNK', 'HNK', 'Hinchinbrooke Isl.', '', 'AU')
('HOK', 'HOK', 'Hooker Creek', '', 'AU')
('HPE', 'HPE', 'Hope Vale', '', 'AU')
('HRN', 'HRN', 'Heron Island', 'Heliport', 'AU')
('HRY', 'HRY', 'Henbury', '', 'AU')
('HSM', 'HSM', 'Horsham', '', 'AU')
('HTI', 'HTI', 'Hamilton Island', '', 'AU')
('HTU', 'HTU', 'Hopetoun', '', 'AU')
('HUB', 'HUB', 'Humbert River', '', 'AU')
('HVB', 'HVB', 'Hervey Bay', '', 'AU')
('HWK', 'HWK', 'Hawker', '', 'AU')
('HXX', 'HXX', 'Hay', '', 'AU')
('IDK', 'IDK', 'Indulkana', '', 'AU')
('IFF', 'IFF', 'Iffley', '', 'AU')
('IFL', 'IFL', 'Innisfail', '', 'AU')
('IGH', 'IGH', 'Ingham', '', 'AU')
('IKP', 'IKP', 'Inkerman', '', 'AU')
('INJ', 'INJ', 'Injune', '', 'AU')
('INM', 'INM', 'Innamincka', '', 'AU')
('IRG', 'IRG', 'Lockhart River', '', 'AU')
('ISA', 'ISA', 'Mount Isa', '', 'AU')
('ISI', 'ISI', 'Isisford', '', 'AU')
('IVR', 'IVR', 'Inverell', '', 'AU')
('IVW', 'IVW', 'Inverway', '', 'AU')
('JAB', 'JAB', 'Jabiru', '', 'AU')
('JAD', 'JAD', 'Jandakot', '', 'AU')
('JCK', 'JCK', 'Julia Creek', '', 'AU')
('JFM', 'JFM', 'Fremantle', 'Heliport', 'AU')
('JHQ', 'JHQ', 'Shute Harbour', 'Heliport', 'AU')
('JUN', 'JUN', 'Jundah', '', 'AU')
('JUR', 'JUR', 'Jurien Bay', '', 'AU')
('KAX', 'KAX', 'Kalbarri', '', 'AU')
('KBB', 'KBB', 'Kirkimbie', '', 'AU')
('KBD', 'KBD', 'Kimberley Downs', '', 'AU')
('KBJ', 'KBJ', 'Kings Canyon', '', 'AU')
('KBY', 'KBY', 'Streaky Bay', '', 'AU')
('KCE', 'KCE', 'Collinsville', '', 'AU')
('KCS', 'KCS', 'Kings Creek Station', '', 'AU')
('KDB', 'KDB', 'Kambalda', '', 'AU')
('KDS', 'KDS', 'Kamaran Downs', '', 'AU')
('KFG', 'KFG', 'Kalkurung', '', 'AU')
('KGC', 'KGC', 'Kingscote', '', 'AU')
('KGI', 'KGI', 'Kalgoorlie', '', 'AU')
('KGR', 'KGR', 'Kulgera', '', 'AU')
('KGY', 'KGY', 'Kingaroy', '', 'AU')
('KKP', 'KKP', 'Koolburra', '', 'AU')
('KML', 'KML', 'Kamileroi', '', 'AU')
('KNI', 'KNI', 'Katanning', '', 'AU')
('KNS', 'KNS', 'King Island', '', 'AU')
('KNX', 'KNX', 'Kununurra', '', 'AU')
('KOH', 'KOH', 'Koolatah', '', 'AU')
('KPP', 'KPP', 'Kalpowar', '', 'AU')
('KPS', 'KPS', 'Kempsey', '', 'AU')
('KQB', 'KQB', 'Koonibba', '', 'AU')
('KRA', 'KRA', 'Kerang', '', 'AU')
('KRB', 'KRB', 'Karumba', '', 'AU')
('KRD', 'KRD', 'Kurundi', '', 'AU')
('KSV', 'KSV', 'Springvale '', '', 'AU')
('KTA', 'KTA', 'Karratha', '', 'AU')
('KTR', 'KTR', 'Katherine', 'Tindal', 'AU')
('KUG', 'KUG', 'Kubin Island', '', 'AU')
('KWM', 'KWM', 'Kowanyama', '', 'AU')
('KYB', 'KYB', 'Yangoonabie', '', 'AU')
('KYF', 'KYF', 'Yeelirrie', '', 'AU')
('KYI', 'KYI', 'Yalata Mission', '', 'AU')
('LCN', 'LCN', 'Balcanoona', '', 'AU')
('LDC', 'LDC', 'Lindeman Island', '', 'AU')
('LDH', 'LDH', 'Lord Howe Island', '', 'AU')
('LDW', 'LDW', 'Lansdowne', '', 'AU')
('LEA', 'LEA', 'Learmonth', '', 'AU')
('LEL', 'LEL', 'Lake Evella', '', 'AU')
('LER', 'LER', 'Leinster', '', 'AU')
('LFP', 'LFP', 'Lakefield', '', 'AU')
('LGE', 'LGE', 'Lake Gregory', '', 'AU')
('LGH', 'LGH', 'Leigh Creek', '', 'AU')
('LHG', 'LHG', 'Lightning Ridge', '', 'AU')
('LIB', 'LIB', 'Limbunya', '', 'AU')
('LKD', 'LKD', 'Lakeland Downs', '', 'AU')
('LLG', 'LLG', 'Chillagoe', '', 'AU')
('LLL', 'LLL', 'Lissadell', '', 'AU')
('LLP', 'LLP', 'Linda Downs', '', 'AU')
('LNH', 'LNH', 'Lake Nash', '', 'AU')
('LNO', 'LNO', 'Leonora', '', 'AU')
('LOA', 'LOA', 'Lorraine', '', 'AU')
('LOC', 'LOC', 'Lock', '', 'AU')
('LRE', 'LRE', 'Longreach', '', 'AU')
('LST', 'LST', 'Launceston', '', 'AU')
('LSY', 'LSY', 'Lismore', '', 'AU')
('LTB', 'LTB', 'Latrobe', '', 'AU')
('LTP', 'LTP', 'Lyndhurst', '', 'AU')
('LTV', 'LTV', 'Lotusvale', '', 'AU')
('LUT', 'LUT', 'Laura Station', '', 'AU')
('LUU', 'LUU', 'Laura', '', 'AU')
('LVO', 'LVO', 'Laverton', '', 'AU')
('LWH', 'LWH', 'Lawn Hill', '', 'AU')
('LYT', 'LYT', 'Lady Elliot Island', '', 'AU')
('LZR', 'LZR', 'Lizard Island', '', 'AU')
('MBB', 'MBB', 'Marble Bar', '', 'AU')
('MBF', 'MBF', 'Mount Buffalo', '', 'AU')
('MBH', 'MBH', 'Maryborough', '', 'AU')
('MBN', 'MBN', 'Mount Barnett', '', 'AU')
('MBW', 'MBW', 'Moorabbin', '', 'AU')
('MCV', 'MCV', 'McArthur River', '', 'AU')
('MCY', 'MCY', 'Sunshine Coast', 'Maroochydore', 'AU')
('MEL', 'MEL', 'Melbourne', 'Tullamarine Intl.', 'AU')
('MET', 'MET', 'Moreton', '', 'AU')
('MFL', 'MFL', 'Mount Full Stop', '', 'AU')
('MFP', 'MFP', 'Manners Creek', '', 'AU')
('MGB', 'MGB', 'Mount Gambier', '', 'AU')
('MGT', 'MGT', 'Milingimbi', '', 'AU')
('MGV', 'MGV', 'Margaret Rv Station', '', 'AU')
('MHC', 'MHC', 'MacMahon Camp 4', '', 'AU')
('MHO', 'MHO', 'Mount House', '', 'AU')
('MHU', 'MHU', 'Mount Hotham', '', 'AU')
('MIH', 'MIH', 'Mitchell Plateau', '', 'AU')
('MIM', 'MIM', 'Merimbula', '', 'AU')
('MIN', 'MIN', 'Minnipa', '', 'AU')
('MIY', 'MIY', 'Mittiebah', '', 'AU')
('MIZ', 'MIZ', 'Mainoru', '', 'AU')
('MJK', 'MJK', 'Monkey Mia', 'Shark Bay', 'AU')
('MJP', 'MJP', 'Manjimup', '', 'AU')
('MKR', 'MKR', 'Meekatharra', '', 'AU')
('MKV', 'MKV', 'Mount Cavenagh', '', 'AU')
('MKY', 'MKY', 'Mackay', '', 'AU')
('MLR', 'MLR', 'Millicent', '', 'AU')
('MLV', 'MLV', 'Merluna', '', 'AU')
('MMG', 'MMG', 'Mount Magnet', '', 'AU')
('MMM', 'MMM', 'Middlemount', '', 'AU')
('MNE', 'MNE', 'Mungeranie', '', 'AU')
('MNG', 'MNG', 'Maningrida', '', 'AU')
('MNQ', 'MNQ', 'Monto', '', 'AU')
('MNV', 'MNV', 'Mountain Valley', '', 'AU')
('MNW', 'MNW', 'MacDonald Downs', '', 'AU')
('MOO', 'MOO', 'Moomba', '', 'AU')
('MOV', 'MOV', 'Moranbah', '', 'AU')
('MQA', 'MQA', 'Mandora', '', 'AU')
('MQE', 'MQE', 'Marqua', '', 'AU')
('MQL', 'MQL', 'Mildura', '', 'AU')
('MQZ', 'MQZ', 'Margaret River', '', 'AU')
('MRG', 'MRG', 'Mareeba', '', 'AU')
('MRL', 'MRL', 'Miners Lake', '', 'AU')
('MRP', 'MRP', 'Marla', '', 'AU')
('MRT', 'MRT', 'Moroak', '', 'AU')
('MRZ', 'MRZ', 'Moree', '', 'AU')
('MSF', 'MSF', 'Mount Swan', '', 'AU')
('MTD', 'MTD', 'Mount Sandford', '', 'AU')
('MTL', 'MTL', 'Maitland', '', 'AU')
('MTQ', 'MTQ', 'Mitchell', '', 'AU')
('MUP', 'MUP', 'Mulga Park', '', 'AU')
('MUQ', 'MUQ', 'Muccan', '', 'AU')
('MVH', 'MVH', 'Macksville', '', 'AU')
('MVK', 'MVK', 'Mulka', '', 'AU')
